mes,filial,entregas,no_prazo,atrasadas,sla_pct
2025-01,Filial Alfa,1200,1044,156,87.0
2025-02,Filial Alfa,1180,1050,130,89.0
2025-03,Filial Alfa,1310,1192,118,91.0
2025-04,Filial Alfa,1275,1173,102,92.0
2025-05,Filial Alfa,1340,1246,94,93.0
2025-06,Filial Alfa,1298,1220,78,94.0
2025-01,Filial Beta,860,731,129,85.0
2025-02,Filial Beta,902,758,144,84.0
2025-03,Filial Beta,945,803,142,85.0
2025-04,Filial Beta,910,792,118,87.0
2025-05,Filial Beta,968,852,116,88.0
2025-06,Filial Beta,1005,895,110,89.1
2025-01,Filial Gama,540,508,32,94.1
2025-02,Filial Gama,575,541,34,94.1
2025-03,Filial Gama,602,572,30,95.0
2025-04,Filial Gama,588,564,24,95.9
2025-05,Filial Gama,634,609,25,96.1
2025-06,Filial Gama,651,628,23,96.5
